# Dataset: Baghewala Digital Twin - Well Master Data & Reservoir Properties
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: Static/quasi-static properties for 23 Baghewala wells
# Schema: WellState Canonical v1.0 (Static Domain)
# Field: Baghewala, Jaisalmer, Rajasthan (Jodhpur Sandstone)
# Sources: OIL public reports, PS-26120 specification, published field data
# Note: Values are physics-calibrated estimates; labeled as 'synthetic' until OIL provides actual well data
well_id,well_name,field,block,formation,discovery_year,production_start_year,depth_m,reservoir_temp_c,crude_api_gravity,crude_viscosity_at_50c_cp,asphaltene_content_pct,rod_string_taper,rod_material,rod_total_length_m,pump_depth_m,pump_barrel_diameter_in,tubing_od_in,casing_od_in,max_spm,max_motor_current_a,max_pprl_lb,min_downstroke_tension_lb,max_wellhead_pressure_psi,css_cycles_completed,total_production_bbl,latitude,longitude,status,last_updated
BGW-11,Baghewala-11,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1067.7,46.5,17.3,10642.7,15.9,"1""-7/8""-3/4""",API Grade C,1060.7,1068.2,1.91,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,9,41886.8,27.0822,70.6728,producing,2026-08-27T08:31:03Z
BGW-12,Baghewala-12,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2017,1065.2,47.5,18.0,10327.8,16.3,"1""-7/8""-3/4""",API Grade C,1035.0,995.9,1.96,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,11,18811.8,27.1304,70.6081,producing,2026-08-27T08:31:03Z
BGW-13,Baghewala-13,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2017,1281.6,47.7,14.8,11456.9,16.5,"1""-7/8""-3/4""",API Grade C,1225.6,991.2,1.5,2.875,7.0,8.0,55.0,24000.0,2000.0,500.0,10,35672.4,27.1393,70.6461,workover,2026-08-27T08:31:03Z
BGW-14,Baghewala-14,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1088.7,46.6,18.8,11737.5,18.8,"1""-7/8""-3/4""",API Grade C,1014.3,1096.0,2.0,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,11,17210.0,27.0372,70.619,workover,2026-08-27T08:31:03Z
BGW-15,Baghewala-15,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2018,1150.9,47.9,16.8,11736.8,15.3,"1""-7/8""-3/4""",API Grade D,1104.8,1095.9,2.02,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,8,31481.7,27.0792,70.6343,shut_in,2026-08-27T08:31:03Z
BGW-16,Baghewala-16,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1129.0,47.5,14.4,11374.9,22.0,"1""-7/8""-3/4""",API Grade D,1018.3,1003.3,1.77,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,6,43257.4,27.0315,70.6667,workover,2026-08-27T08:31:03Z
BGW-17,Baghewala-17,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1202.9,48.0,17.3,10023.5,20.7,"1""-7/8""-3/4""",API Grade C,1232.9,975.9,2.38,2.875,5.5,8.0,55.0,24000.0,2000.0,500.0,4,76817.5,27.0311,70.5564,producing,2026-08-27T08:31:03Z
BGW-18,Baghewala-18,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1100.9,47.3,15.3,11465.6,21.3,"1""-7/8""-3/4""",API Grade D,1023.1,1055.9,1.78,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,5,67340.2,27.0524,70.6482,workover,2026-08-27T08:31:03Z
BGW-19,Baghewala-19,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1190.2,46.2,18.7,12073.1,16.0,"1""-7/8""-3/4""",API Grade D,1208.6,1095.6,1.65,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,7,42818.6,27.1866,70.6944,producing,2026-08-27T08:31:03Z
BGW-20,Baghewala-20,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2019,1102.5,46.5,14.5,12340.3,21.2,"1""-7/8""-3/4""",API Grade C,1243.5,1137.4,2.43,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,5,89327.5,27.005,70.6473,shut_in,2026-08-27T08:31:03Z
BGW-21,Baghewala-21,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1250.6,47.7,18.1,10800.4,20.5,"1""-7/8""-3/4""",API Grade D,1095.6,959.7,1.97,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,8,37467.2,27.1591,70.5455,producing,2026-08-27T08:31:03Z
BGW-22,Baghewala-22,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2018,1149.6,46.6,14.3,12320.0,17.5,"1""-7/8""-3/4""",API Grade C,1169.9,1160.9,1.83,2.375,5.5,8.0,55.0,24000.0,2000.0,500.0,7,26071.1,27.1925,70.5531,producing,2026-08-27T08:31:03Z
BGW-23,Baghewala-23,Baghewala,Bikaner-Nagaur Basin,Jodhpur Sandstone,1991,2020,1136.4,47.6,16.2,12952.7,15.8,"1""-7/8""-3/4""",API Grade D,1063.7,1127.2,1.5,2.375,7.0,8.0,55.0,24000.0,2000.0,500.0,9,16297.6,27.1328,70.566,shut_in,2026-08-27T08:31:03Z
