# Dataset: Baghewala Digital Twin - Maintenance & Failure Event Log
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 150 maintenance/failure events across 5 wells over 3 years
# Schema: WellState Canonical v1.0 (Event Domain)
# Label Source: weak (derived from workover logs, not direct observation)
# Event Types: 8 categories | Severity Levels: critical/warning/info
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
event_id,well_id,cycle_id,ts,cycle_day,event_type,severity,failure_depth_m,description,downtime_hours,repair_cost_inr,root_cause,preceding_fmi,preceding_viscosity_cp,preceding_spm,preceding_motor_current_a,corrective_action,mtbf_days,label_source,source
EVT-00017,BGW-05,CYC-011,2024-04-27T07:46:51Z,15.6,rod_failure,critical,511.8,Rod Failure occurred on well BGW-05,145.5,483610.11,mechanical_fatigue,0.108,7797.7,7.9,38.8,rod_replacement,66.5,weak,synthetic
EVT-00143,BGW-15,CYC-004,2024-04-30T08:04:01Z,7.9,rod_failure,critical,592.6,Rod Failure occurred on well BGW-15,121.1,54769.73,high_viscosity,0.137,11845.4,4.6,42.9,rod_replacement,4.5,weak,synthetic
EVT-00045,BGW-15,CYC-009,2024-04-30T08:28:28Z,25.9,rod_failure,critical,1063.1,Rod Failure occurred on well BGW-15,51.4,296319.94,mechanical_fatigue,0.101,5421.6,7.8,23.5,rod_replacement,0.0,weak,synthetic
EVT-00025,BGW-15,CYC-014,2024-05-26T02:54:41Z,11.7,interlock_trip,warning,,Interlock Trip occurred on well BGW-15,24.1,234998.4,unknown,0.364,3610.4,6.0,49.1,parameter_adjustment,25.8,weak,synthetic
EVT-00119,BGW-08,CYC-002,2024-05-26T13:47:05Z,6.4,workover,critical,,Workover occurred on well BGW-08,32.9,261283.91,high_viscosity,0.421,3535.0,4.9,41.4,tubing_repair,170.0,weak,synthetic
EVT-00041,BGW-08,CYC-002,2024-05-28T12:55:20Z,44.7,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,54.4,372726.13,unknown,0.226,2446.8,6.9,54.2,parameter_adjustment,2.0,weak,synthetic
EVT-00070,BGW-04,CYC-002,2024-06-11T20:19:06Z,30.0,rod_failure,critical,839.2,Rod Failure occurred on well BGW-04,113.6,294357.25,thermal_stress,0.06,6636.8,4.1,50.9,rod_replacement,95.7,weak,synthetic
EVT-00127,BGW-15,CYC-004,2024-06-12T01:30:32Z,47.2,rod_failure,critical,595.8,Rod Failure occurred on well BGW-15,108.1,251528.84,thermal_stress,0.108,7114.7,5.0,48.3,rod_replacement,16.9,weak,synthetic
EVT-00016,BGW-05,CYC-013,2024-06-14T10:03:26Z,43.6,valve_replacement,warning,,Valve Replacement occurred on well BGW-05,65.5,24168.68,thermal_stress,0.22,4596.3,5.4,48.7,valve_swap,48.1,weak,synthetic
EVT-00056,BGW-04,CYC-013,2024-06-24T18:24:42Z,52.0,workover,critical,,Workover occurred on well BGW-04,58.4,394920.12,unknown,0.249,1527.9,6.3,55.0,parameter_adjustment,12.9,weak,synthetic
EVT-00132,BGW-11,CYC-001,2024-07-05T04:19:31Z,51.6,rod_failure,critical,609.4,Rod Failure occurred on well BGW-11,148.5,365116.49,mechanical_fatigue,0.054,5358.1,6.2,32.7,rod_replacement,93.8,weak,synthetic
EVT-00062,BGW-04,CYC-006,2024-07-13T12:44:45Z,28.7,workover,critical,,Workover occurred on well BGW-04,42.5,208965.62,high_viscosity,0.211,3067.0,5.5,43.9,parameter_adjustment,18.8,weak,synthetic
EVT-00128,BGW-11,CYC-002,2024-07-17T23:42:01Z,42.9,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,28.2,210732.76,unknown,0.269,761.2,7.4,31.2,parameter_adjustment,12.8,weak,synthetic
EVT-00029,BGW-08,CYC-007,2024-07-19T06:42:25Z,51.9,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,160.3,212415.53,unknown,0.227,2207.4,4.1,31.8,parameter_adjustment,51.7,weak,synthetic
EVT-00071,BGW-15,CYC-010,2024-08-20T11:52:38Z,17.2,rod_failure,critical,260.1,Rod Failure occurred on well BGW-15,138.8,455146.88,mechanical_fatigue,0.061,5317.4,4.1,54.9,rod_replacement,69.4,weak,synthetic
EVT-00147,BGW-04,CYC-012,2024-08-23T10:18:52Z,30.2,valve_replacement,warning,,Valve Replacement occurred on well BGW-04,44.7,97168.54,thermal_stress,0.349,3798.5,4.7,50.0,valve_swap,40.9,weak,synthetic
EVT-00038,BGW-11,CYC-008,2024-08-29T16:34:36Z,51.8,workover,critical,,Workover occurred on well BGW-11,32.2,109999.33,unknown,0.248,3001.0,7.5,39.5,tubing_repair,42.7,weak,synthetic
EVT-00111,BGW-04,CYC-002,2024-09-21T08:59:50Z,24.0,interlock_trip,warning,,Interlock Trip occurred on well BGW-04,123.7,315987.2,unknown,0.166,2752.8,7.3,26.1,parameter_adjustment,28.9,weak,synthetic
EVT-00122,BGW-04,CYC-010,2024-09-25T13:01:19Z,25.3,valve_replacement,warning,,Valve Replacement occurred on well BGW-04,135.4,278065.23,corrosion,0.258,4998.0,6.9,38.4,valve_swap,4.2,weak,synthetic
EVT-00117,BGW-11,CYC-013,2024-09-28T04:32:09Z,46.2,rod_failure,critical,352.0,Rod Failure occurred on well BGW-11,7.2,425091.31,thermal_stress,0.053,5470.6,7.1,32.8,rod_replacement,29.5,weak,synthetic
EVT-00086,BGW-05,CYC-012,2024-10-05T13:52:35Z,22.8,rod_failure,critical,1094.3,Rod Failure occurred on well BGW-05,101.0,442254.38,high_viscosity,0.118,5348.3,4.3,35.5,rod_replacement,113.2,weak,synthetic
EVT-00006,BGW-05,CYC-007,2024-10-15T08:30:32Z,19.6,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,132.2,230229.14,unknown,0.204,1518.7,7.9,40.3,parameter_adjustment,9.8,weak,synthetic
EVT-00019,BGW-04,CYC-010,2024-10-22T04:10:50Z,15.5,routine_maintenance,info,,Routine Maintenance occurred on well BGW-04,9.4,220848.47,unknown,0.301,4746.9,7.7,41.8,parameter_adjustment,26.6,weak,synthetic
EVT-00074,BGW-04,CYC-004,2024-11-05T08:39:54Z,58.3,pump_unseating,warning,,Pump Unseating occurred on well BGW-04,159.5,412974.59,high_viscosity,0.375,3005.9,4.1,47.5,pump_reset,14.2,weak,synthetic
EVT-00044,BGW-04,CYC-002,2024-11-08T04:12:30Z,36.7,rod_failure,critical,852.1,Rod Failure occurred on well BGW-04,27.2,406515.33,mechanical_fatigue,0.139,5829.2,7.1,41.2,rod_replacement,2.8,weak,synthetic
EVT-00008,BGW-05,CYC-015,2024-11-11T12:54:43Z,36.3,rod_failure,critical,750.0,Rod Failure occurred on well BGW-05,8.6,45581.79,thermal_stress,0.134,6429.8,6.9,28.4,rod_replacement,27.2,weak,synthetic
EVT-00040,BGW-05,CYC-004,2024-11-12T05:22:02Z,21.8,valve_replacement,warning,,Valve Replacement occurred on well BGW-05,98.5,239263.94,thermal_stress,0.499,2774.4,5.4,35.9,valve_swap,0.7,weak,synthetic
EVT-00106,BGW-04,CYC-007,2024-11-23T17:26:53Z,32.6,workover,critical,,Workover occurred on well BGW-04,41.1,497290.05,unknown,0.16,4657.6,7.4,42.7,parameter_adjustment,15.6,weak,synthetic
EVT-00081,BGW-11,CYC-002,2024-11-24T22:11:30Z,22.2,valve_replacement,warning,,Valve Replacement occurred on well BGW-11,53.9,131170.45,corrosion,0.173,4167.3,4.4,23.4,valve_swap,57.7,weak,synthetic
EVT-00124,BGW-05,CYC-015,2024-12-13T03:35:29Z,52.8,valve_replacement,warning,,Valve Replacement occurred on well BGW-05,140.0,261460.56,thermal_stress,0.207,4677.0,4.9,53.2,valve_swap,30.9,weak,synthetic
EVT-00001,BGW-08,CYC-009,2024-12-19T03:47:04Z,29.8,workover,critical,,Workover occurred on well BGW-08,43.2,36692.82,high_viscosity,0.356,85.6,6.8,22.1,parameter_adjustment,152.9,weak,synthetic
EVT-00026,BGW-15,CYC-003,2024-12-27T17:18:41Z,45.9,pump_unseating,warning,,Pump Unseating occurred on well BGW-15,80.8,133299.82,high_viscosity,0.418,2630.4,6.5,29.6,pump_reset,129.2,weak,synthetic
EVT-00028,BGW-15,CYC-001,2025-01-18T15:40:22Z,16.4,rod_failure,critical,599.1,Rod Failure occurred on well BGW-15,152.2,294119.31,thermal_stress,0.127,10359.2,5.5,20.2,rod_replacement,21.9,weak,synthetic
EVT-00033,BGW-05,CYC-002,2025-01-27T00:33:00Z,36.0,valve_replacement,warning,,Valve Replacement occurred on well BGW-05,38.2,351235.16,thermal_stress,0.362,4820.5,6.9,47.2,valve_swap,44.9,weak,synthetic
EVT-00144,BGW-11,CYC-004,2025-01-31T06:48:21Z,46.6,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,49.7,146280.59,operator_error,0.378,1199.5,7.0,49.8,parameter_adjustment,67.4,weak,synthetic
EVT-00087,BGW-11,CYC-008,2025-02-09T06:50:43Z,27.8,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,37.8,258611.42,unknown,0.189,3407.2,6.4,38.4,parameter_adjustment,9.0,weak,synthetic
EVT-00049,BGW-15,CYC-002,2025-02-18T04:47:22Z,37.9,workover,critical,,Workover occurred on well BGW-15,149.6,368594.29,unknown,0.182,4811.5,7.3,40.1,parameter_adjustment,30.5,weak,synthetic
EVT-00024,BGW-11,CYC-004,2025-02-18T20:05:49Z,13.1,rod_failure,critical,853.2,Rod Failure occurred on well BGW-11,150.2,430918.08,high_viscosity,0.07,10628.8,6.8,36.3,rod_replacement,9.6,weak,synthetic
EVT-00131,BGW-08,CYC-002,2025-02-22T02:49:39Z,57.0,pump_unseating,warning,,Pump Unseating occurred on well BGW-08,85.9,483509.88,high_viscosity,0.167,1442.7,6.4,49.5,pump_reset,65.0,weak,synthetic
EVT-00010,BGW-05,CYC-003,2025-03-03T10:47:27Z,56.3,rod_failure,critical,1036.8,Rod Failure occurred on well BGW-05,148.0,187915.91,high_viscosity,0.125,9924.8,6.4,54.6,rod_replacement,35.4,weak,synthetic
EVT-00055,BGW-08,CYC-005,2025-03-06T17:22:10Z,27.9,workover,critical,,Workover occurred on well BGW-08,82.1,238748.79,unknown,0.284,4613.2,6.0,50.8,parameter_adjustment,12.6,weak,synthetic
EVT-00092,BGW-15,CYC-015,2025-03-07T21:46:44Z,47.7,workover,critical,,Workover occurred on well BGW-15,60.3,479320.56,high_viscosity,0.186,1317.0,4.7,25.4,parameter_adjustment,17.7,weak,synthetic
EVT-00022,BGW-05,CYC-013,2025-03-09T05:55:14Z,54.6,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,134.1,88997.24,unknown,0.33,3183.1,5.3,48.6,parameter_adjustment,5.8,weak,synthetic
EVT-00113,BGW-08,CYC-014,2025-03-13T20:38:59Z,34.9,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,44.1,377879.0,corrosion,0.275,3915.2,7.5,31.6,valve_swap,7.1,weak,synthetic
EVT-00097,BGW-11,CYC-010,2025-03-23T09:05:57Z,13.7,interlock_trip,warning,,Interlock Trip occurred on well BGW-11,63.9,145032.32,unknown,0.388,309.2,6.5,31.7,parameter_adjustment,32.5,weak,synthetic
EVT-00139,BGW-11,CYC-006,2025-03-24T22:09:03Z,57.6,routine_maintenance,info,,Routine Maintenance occurred on well BGW-11,78.3,268897.9,unknown,0.364,1001.7,5.0,39.5,parameter_adjustment,1.5,weak,synthetic
EVT-00108,BGW-05,CYC-012,2025-04-19T11:44:48Z,38.5,pump_unseating,warning,,Pump Unseating occurred on well BGW-05,72.3,389205.45,high_viscosity,0.193,1230.3,6.6,41.8,pump_reset,41.2,weak,synthetic
EVT-00084,BGW-08,CYC-013,2025-05-17T05:07:35Z,28.6,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,95.1,384879.1,operator_error,0.16,1402.7,7.0,52.3,parameter_adjustment,64.4,weak,synthetic
EVT-00065,BGW-08,CYC-012,2025-05-17T23:51:10Z,21.2,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,164.3,330823.76,unknown,0.348,3444.7,7.0,21.7,parameter_adjustment,0.8,weak,synthetic
EVT-00137,BGW-15,CYC-012,2025-05-21T02:05:42Z,7.8,rod_failure,critical,656.4,Rod Failure occurred on well BGW-15,89.0,361985.5,mechanical_fatigue,0.124,6695.4,6.3,44.5,rod_replacement,74.2,weak,synthetic
EVT-00014,BGW-08,CYC-003,2025-05-26T10:19:53Z,28.6,rod_failure,critical,239.7,Rod Failure occurred on well BGW-08,62.5,466878.57,high_viscosity,0.069,6746.7,4.4,47.3,rod_replacement,8.4,weak,synthetic
EVT-00077,BGW-05,CYC-001,2025-06-02T09:11:14Z,14.6,interlock_trip,warning,,Interlock Trip occurred on well BGW-05,10.7,372150.44,operator_error,0.317,3901.2,6.1,23.8,parameter_adjustment,43.9,weak,synthetic
EVT-00042,BGW-15,CYC-002,2025-06-11T01:59:01Z,50.8,rod_failure,critical,481.4,Rod Failure occurred on well BGW-15,61.9,154622.46,thermal_stress,0.075,11820.1,6.2,44.4,rod_replacement,21.0,weak,synthetic
EVT-00095,BGW-04,CYC-009,2025-07-01T01:10:50Z,26.1,rod_failure,critical,751.3,Rod Failure occurred on well BGW-04,160.4,370765.92,high_viscosity,0.132,9001.6,4.8,41.2,rod_replacement,219.3,weak,synthetic
EVT-00021,BGW-05,CYC-005,2025-07-01T14:30:15Z,27.3,routine_maintenance,info,,Routine Maintenance occurred on well BGW-05,140.4,155418.1,unknown,0.425,3053.0,5.3,35.5,parameter_adjustment,29.2,weak,synthetic
EVT-00053,BGW-08,CYC-008,2025-07-09T09:45:40Z,39.4,rod_failure,critical,922.0,Rod Failure occurred on well BGW-08,35.8,276863.72,mechanical_fatigue,0.129,8393.0,4.1,42.1,rod_replacement,44.0,weak,synthetic
EVT-00046,BGW-05,CYC-005,2025-07-12T13:32:50Z,41.3,rod_failure,critical,349.2,Rod Failure occurred on well BGW-05,30.9,42157.11,high_viscosity,0.091,9156.7,5.2,28.1,rod_replacement,11.0,weak,synthetic
EVT-00067,BGW-05,CYC-015,2025-07-15T13:26:17Z,39.5,rod_failure,critical,237.5,Rod Failure occurred on well BGW-05,132.9,21515.44,mechanical_fatigue,0.058,7065.8,7.0,26.1,rod_replacement,3.0,weak,synthetic
EVT-00094,BGW-11,CYC-013,2025-07-18T23:57:15Z,20.1,pump_unseating,warning,,Pump Unseating occurred on well BGW-11,11.3,256131.76,operator_error,0.308,331.6,7.3,22.7,pump_reset,116.1,weak,synthetic
EVT-00051,BGW-11,CYC-008,2025-07-22T17:22:38Z,58.3,pump_unseating,warning,,Pump Unseating occurred on well BGW-11,80.0,207132.31,operator_error,0.45,1682.5,6.8,30.1,pump_reset,3.7,weak,synthetic
EVT-00013,BGW-05,CYC-005,2025-07-25T06:37:48Z,13.9,rod_failure,critical,619.7,Rod Failure occurred on well BGW-05,119.1,282648.9,high_viscosity,0.135,9837.1,4.6,21.3,rod_replacement,9.7,weak,synthetic
EVT-00043,BGW-05,CYC-013,2025-07-26T02:31:24Z,32.0,rod_failure,critical,1029.1,Rod Failure occurred on well BGW-05,97.3,237351.49,mechanical_fatigue,0.067,5359.6,7.8,36.7,rod_replacement,0.8,weak,synthetic
EVT-00060,BGW-11,CYC-014,2025-08-08T05:18:11Z,23.1,pump_unseating,warning,,Pump Unseating occurred on well BGW-11,113.9,269143.04,operator_error,0.455,227.7,4.3,42.1,pump_reset,16.5,weak,synthetic
EVT-00110,BGW-05,CYC-002,2025-08-24T03:37:21Z,33.8,interlock_trip,warning,,Interlock Trip occurred on well BGW-05,61.9,476934.82,operator_error,0.456,265.5,5.5,33.1,parameter_adjustment,29.0,weak,synthetic
EVT-00023,BGW-05,CYC-004,2025-09-02T09:13:02Z,49.4,pump_unseating,warning,,Pump Unseating occurred on well BGW-05,26.5,27875.79,operator_error,0.309,4436.4,6.3,45.1,pump_reset,9.2,weak,synthetic
EVT-00141,BGW-15,CYC-007,2025-09-06T13:52:17Z,54.3,tubing_split,critical,,Tubing Split occurred on well BGW-15,67.5,175841.66,corrosion,0.165,4778.8,4.3,52.3,tubing_repair,87.5,weak,synthetic
EVT-00079,BGW-11,CYC-008,2025-09-16T23:06:30Z,44.2,rod_failure,critical,621.4,Rod Failure occurred on well BGW-11,151.3,164445.35,high_viscosity,0.061,9370.2,6.3,44.9,rod_replacement,39.7,weak,synthetic
EVT-00150,BGW-08,CYC-011,2025-09-21T13:23:53Z,55.4,pump_unseating,warning,,Pump Unseating occurred on well BGW-08,51.0,309239.6,high_viscosity,0.317,2302.1,8.0,33.1,pump_reset,74.2,weak,synthetic
EVT-00047,BGW-08,CYC-008,2025-10-05T11:23:05Z,8.9,rod_failure,critical,421.8,Rod Failure occurred on well BGW-08,45.9,396667.63,thermal_stress,0.088,8811.9,6.6,51.8,rod_replacement,13.9,weak,synthetic
EVT-00054,BGW-05,CYC-005,2025-10-12T22:07:38Z,35.3,interlock_trip,warning,,Interlock Trip occurred on well BGW-05,93.7,51138.55,operator_error,0.481,3256.2,4.6,52.6,parameter_adjustment,40.5,weak,synthetic
EVT-00027,BGW-04,CYC-004,2025-10-17T01:05:02Z,19.9,rod_failure,critical,503.7,Rod Failure occurred on well BGW-04,91.7,73495.16,high_viscosity,0.112,9944.9,4.3,34.3,rod_replacement,108.0,weak,synthetic
EVT-00012,BGW-05,CYC-004,2025-10-21T12:04:15Z,42.8,valve_replacement,warning,,Valve Replacement occurred on well BGW-05,143.6,255177.48,thermal_stress,0.182,2146.7,5.1,20.1,valve_swap,8.6,weak,synthetic
EVT-00020,BGW-04,CYC-005,2025-10-23T20:24:58Z,32.9,rod_failure,critical,833.5,Rod Failure occurred on well BGW-04,56.1,350118.17,thermal_stress,0.067,9654.5,5.5,46.2,rod_replacement,6.8,weak,synthetic
EVT-00030,BGW-11,CYC-014,2025-10-28T16:52:01Z,30.7,workover,critical,,Workover occurred on well BGW-11,23.2,313017.2,high_viscosity,0.357,3331.8,4.3,35.0,tubing_repair,41.7,weak,synthetic
EVT-00115,BGW-04,CYC-002,2025-10-31T21:08:49Z,28.7,interlock_trip,warning,,Interlock Trip occurred on well BGW-04,167.2,94325.96,unknown,0.186,1673.2,5.2,35.6,parameter_adjustment,8.0,weak,synthetic
EVT-00066,BGW-15,CYC-014,2025-11-20T17:00:30Z,54.7,routine_maintenance,info,,Routine Maintenance occurred on well BGW-15,49.5,400435.76,unknown,0.373,3123.4,6.7,45.2,parameter_adjustment,75.1,weak,synthetic
EVT-00142,BGW-08,CYC-004,2025-11-23T01:59:30Z,16.1,valve_replacement,warning,,Valve Replacement occurred on well BGW-08,91.4,466846.85,thermal_stress,0.188,3717.4,5.0,21.8,valve_swap,48.6,weak,synthetic
EVT-00032,BGW-04,CYC-001,2025-11-24T22:20:02Z,60.0,routine_maintenance,info,,Routine Maintenance occurred on well BGW-04,60.1,326821.33,unknown,0.482,1036.8,4.1,25.3,parameter_adjustment,24.0,weak,synthetic
EVT-00103,BGW-08,CYC-013,2025-11-28T14:53:49Z,29.7,routine_maintenance,info,,Routine Maintenance occurred on well BGW-08,90.6,158186.61,unknown,0.279,4738.3,7.9,36.2,parameter_adjustment,5.5,weak,synthetic
EVT-00134,BGW-08,CYC-004,2025-12-01T10:36:14Z,38.1,interlock_trip,warning,,Interlock Trip occurred on well BGW-08,68.6,24926.18,operator_error,0.4,4029.6,6.1,25.2,parameter_adjustment,2.8,weak,synthetic
